avg_goals_rank	home_adv_rank	country	league	num_games	num_teams	avg_goals	home_advantage_score	left_tail	right_tail	countryCode
42	11	Uzbekistan	Professional Football League 2017	233	16	3.193	0.503	0.338	0.668	UZB
43	19	Ecuador	Serie A 2017	263	12	3.186	0.454	0.3	0.608	ECU
44	32	Costa Rica	Primera Division 2016/2017	264	12	3.182	0.37	0.221	0.52	CRI
45	100	Vietnam	V-League 2017	182	14	3.165	0.174	0.003	0.345	VNM
46	42	Slovakia	Fortuna liga 2016/2017	184	12	3.163	0.339	0.159	0.518	SVK
47	90	Cyprus	First Division 2016/2017	182	14	3.154	0.191	0.019	0.363	CYP
48	110	Trinidad and Tobago	Pro League 2017	90	10	3.133	0.145	-0.098	0.387	TTO
49	69	Poland	Ekstraklasa 2016/2017	240	16	3.125	0.26	0.107	0.414	POL
50	30	France	Ligue 1 2016/2017	379	20	3.103	0.375	0.248	0.502	FXX
51	112	Chile	Primera Division 2016/2017	120	16	3.1	0.145	-0.068	0.357	CHL
52	0	Nigeria	Premier League 2017	379	20	3.087	1.195	1.027	1.363	NGA
53	111	Malta	Premier League 2016/2017	197	12	3.076	0.145	-0.021	0.31	MLT
54	137	Singapore	S.League 2017	108	9	3.056	0.056	-0.163	0.275	SGP
55	146	Kuwait	Premier League 2016/2017	210	15	3.048	-0.0	-0.155	0.155	KWT
56	45	Réunion	Regionale 1 2017	182	14	3.044	0.336	0.153	0.518	REU
57	91	Sweden	Allsvenskan 2017	240	16	3.042	0.189	0.037	0.342	SWE
58	56	Hungary	OTP Bank Liga 2016/2017	198	12	3.04	0.307	0.133	0.481	HUN
59	77	Austria	Tipico Bundesliga 2016/2017	180	10	3.033	0.239	0.06	0.418	AUT
60	102	Ireland	Premier Division 2017	198	12	3.03	0.172	0.004	0.341	IRL
61	80	Turkey	Super Lig 2016/2017	305	18	3.023	0.231	0.094	0.369	TUR
62	24	India	I-League 2017	90	10	3.0	0.405	0.139	0.672	IND
63	38	FYR of Macedonia	First League 2016/2017	180	10	2.978	0.349	0.163	0.535	MKD
64	127	Georgia	Erovnuli Liga 2017	179	10	2.961	0.108	-0.067	0.283	GEO
65	41	Moldova	Divizia Nationala 2016/2017	165	11	2.958	0.341	0.147	0.536	MDA
66	94	Scotland	Premiership 2016/2017	198	12	2.949	0.187	0.016	0.358	SCT
67	115	Oman	Professional League 2016/2017	182	14	2.945	0.136	-0.04	0.311	OMN
68	79	Mexico	Primera Division 2016/2017	306	18	2.941	0.234	0.095	0.373	MEX
69	36	Kazakhstan	Premier League 2017	198	12	2.929	0.361	0.18	0.542	KAZ
70	3	Ghana	Premier League 2017	238	16	2.924	0.676	0.494	0.857	GHA
